Período,VAR01,VAR02,VAR03,VAR04,VAR06,VAR07,VAR10,VAR12,VAR16,VAR17,VAR18,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR28,VAR31,VAR31c,VAR33,VAR34,GROUP
0.5714285714285714,0.05194805194805195,0.0,0.0,0.03146853146853147,0.0,0.0,0.0,0.0,0.0,0.0,0.15306122448979592,0.0,0.0,0.0,0.0,0.3653857142857143,0.2387259283334688,0.3275261324041812,0.3643835616438356,0.3818181818181817,0.0,0.2083333333333333,2
0.7142857142857143,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020905923344947737,0.010958904109589041,0.006060606060606061,0.0,0.0,1
0.42857142857142855,0.025974025974025976,0.0,0.0,0.01048951048951049,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.08163265306122447,0.0,0.1,0.0,0.038461538461538464,0.07142857142857142,0.2646461363451694,0.06968641114982578,0.13150684931506848,0.2424242424242425,0.3333333333333333,0.08333333333333333,2
1.0,0.5454545454545454,0.0,0.0,0.0017482517482517485,0.0,0.0,0.0,0.0,0.0,0.4810725552050473,0.21428571428571427,0.0,0.0,0.0,0.07692307692307693,0.8571428571428571,0.3544730641098562,0.8013937282229965,0.8876712328767123,0.4484848484848485,0.6666666666666666,0.2083333333333333,0
0.2857142857142857,0.01948051948051948,0.0,0.06666666666666668,0.012237762237762238,0.0,0.0,0.09090909090909093,0.0,0.0,0.0998422712933754,0.2755102040816326,0.0,0.2,0.0,0.07692307692307693,0.35714285714285715,0.9263021044933778,0.2543554006968641,0.4136986301369863,0.5818181818181818,1.0,0.2083333333333333,4
0.42857142857142855,0.2077922077922078,0.0,0.17333333333333334,0.04370629370629369,0.0,0.0,0.13636363636363635,0.0,0.0,0.01577287066246057,0.6224489795918368,0.0,0.2,0.0,0.0,0.42857142857142855,0.2909726172097181,0.11498257839721256,0.4273972602739726,0.4060606060606061,0.3333333333333333,0.16666666666666666,0
0.2857142857142857,0.07792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14195583596214512,0.08163265306122447,0.0,0.15,0.0,0.07692307692307693,0.07142857142857142,0.8899406841634843,0.05226480836236934,0.1178082191780822,0.1696969696969697,0.6666666666666666,0.08333333333333333,4
1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13406940063091485,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.055749128919860634,0.08493150684931508,0.11515151515151514,0.6666666666666666,0.0,2
0.0,0.2272727272727273,0.0,1.0,1.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.1498422712933754,0.3877551020408163,0.0,0.0,0.0,0.0,0.6428571428571429,0.10973429755423744,0.8118466898954704,0.673972602739726,0.5575757575757576,0.6666666666666666,0.16666666666666666,0
0.42857142857142855,0.09090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007886435331230283,0.051020408163265314,0.0,0.0,0.0,0.0,0.0,0.17217843503697086,0.055749128919860634,0.0410958904109589,0.07272727272727272,0.6666666666666666,0.041666666666666664,2
